Pavarde          Vardas           ND1              ND2              ND3              ND4              ND5              Egz.             
Pavarde181       Vardas181        7                8                10               5                3                3                
Pavarde182       Vardas182        6                9                0                5                4                7                
Pavarde183       Vardas183        6                10               4                1                3                3                
Pavarde184       Vardas184        8                6                8                5                8                4                
Pavarde185       Vardas185        6                9                10               9                9                4                
Pavarde186       Vardas186        7                5                1                0                4                0                
Pavarde187       Vardas187        6                0                8                1                10               1                
Pavarde188       Vardas188        5                5                8                7                6                4                
Pavarde189       Vardas189        2                1                6                0                4                9                
Pavarde190       Vardas190        10               7                10               10               9                7                
Pavarde191       Vardas191        8                1                1                6                9                6                
Pavarde192       Vardas192        2                10               5                3                0                9                
Pavarde193       Vardas193        0                3                10               8                6                8                
Pavarde194       Vardas194        1                8                7                1                2                7                
Pavarde195       Vardas195        2                5                3                4                9                3                
Pavarde196       Vardas196        3                5                3                8                1                2                
Pavarde197       Vardas197        10               4                5                6                1                8                
Pavarde198       Vardas198        2                3                5                1                9                3                
Pavarde199       Vardas199        4                3                9                10               3                0                
Pavarde200       Vardas200        8                7                10               6                2                3                
Pavarde201       Vardas201        8                8                2                5                8                9                
Pavarde202       Vardas202        5                6                9                5                1                9                
Pavarde203       Vardas203        9                4                1                0                8                3                
Pavarde204       Vardas204        1                4                10               3                5                7                
Pavarde205       Vardas205        6                2                5                6                4                10               
Pavarde206       Vardas206        0                3                4                2                8                6                
Pavarde207       Vardas207        10               3                10               2                10               9                
Pavarde208       Vardas208        0                0                1                6                4                2                
Pavarde209       Vardas209        3                7                3                1                0                5                
Pavarde210       Vardas210        5                7                8                1                2                5                
Pavarde211       Vardas211        6                4                9                5                7                2                
Pavarde212       Vardas212        10               7                9                10               10               0                
Pavarde213       Vardas213        1                2                8                0                6                10               
Pavarde214       Vardas214        10               6                1                8                7                9                
Pavarde215       Vardas215        0                5                4                1                6                6                
Pavarde216       Vardas216        3                4                10               6                0                9                
Pavarde217       Vardas217        8                3                1                7                9                10               
Pavarde218       Vardas218        2                1                1                1                5                9                
Pavarde219       Vardas219        1                5                3                8                0                0                
Pavarde220       Vardas220        6                10               10               10               0                10               
Pavarde221       Vardas221        6                10               5                8                10               7                
Pavarde222       Vardas222        7                7                1                7                10               2                
Pavarde223       Vardas223        3                6                0                6                5                10               
Pavarde224       Vardas224        7                2                9                7                2                7                
Pavarde225       Vardas225        5                6                2                9                6                10               
Pavarde226       Vardas226        8                4                1                10               2                4                
Pavarde227       Vardas227        4                3                9                3                3                7                
Pavarde228       Vardas228        7                0                9                9                3                6                
Pavarde229       Vardas229        4                0                2                3                1                0                
Pavarde230       Vardas230        4                9                8                6                8                1                
Pavarde231       Vardas231        6                8                0                6                3                2                
Pavarde232       Vardas232        10               0                0                3                10               10               
Pavarde233       Vardas233        1                3                0                10               4                5                
Pavarde234       Vardas234        1                3                7                3                8                4                
Pavarde235       Vardas235        6                9                3                4                8                0                
Pavarde236       Vardas236        6                6                0                3                5                9                
Pavarde237       Vardas237        8                2                10               8                2                10               
Pavarde238       Vardas238        7                2                8                3                3                1                
Pavarde239       Vardas239        0                1                2                4                10               10               
Pavarde240       Vardas240        0                3                10               2                6                5                
Pavarde241       Vardas241        1                6                7                8                1                8                
Pavarde242       Vardas242        5                8                1                4                9                5                
Pavarde243       Vardas243        3                8                4                7                3                4                
Pavarde244       Vardas244        10               4                1                4                10               0                
Pavarde245       Vardas245        4                5                5                10               2                2                
Pavarde246       Vardas246        8                10               3                10               2                8                
Pavarde247       Vardas247        2                4                3                9                4                9                
Pavarde248       Vardas248        10               6                0                6                0                0                
Pavarde249       Vardas249        4                3                2                1                3                7                
Pavarde250       Vardas250        8                1                2                9                0                2                
Pavarde251       Vardas251        8                6                4                1                3                7                
Pavarde252       Vardas252        4                3                0                1                5                5                
Pavarde253       Vardas253        5                8                6                8                10               8                
Pavarde254       Vardas254        6                10               6                2                5                3                
Pavarde255       Vardas255        1                1                8                0                1                2                
Pavarde256       Vardas256        0                0                9                10               10               4                
Pavarde257       Vardas257        10               9                1                6                5                0                
Pavarde258       Vardas258        4                6                2                1                0                0                
Pavarde259       Vardas259        4                9                10               5                0                3                
Pavarde260       Vardas260        1                6                8                8                7                6                
Pavarde261       Vardas261        6                1                0                7                1                1                
Pavarde262       Vardas262        8                1                9                8                6                6                
Pavarde263       Vardas263        6                5                3                10               6                4                
Pavarde264       Vardas264        7                2                4                9                2                4                
Pavarde265       Vardas265        5                9                5                0                2                8                
Pavarde266       Vardas266        5                7                9                6                6                1                
Pavarde267       Vardas267        6                10               3                8                2                5                
Pavarde268       Vardas268        6                9                7                5                4                5                
Pavarde269       Vardas269        10               4                6                1                7                9                
Pavarde270       Vardas270        1                8                8                8                7                5                
Pavarde271       Vardas271        1                4                6                3                8                7                
Pavarde272       Vardas272        3                10               3                2                1                10               
Pavarde273       Vardas273        10               8                3                2                2                2                
Pavarde274       Vardas274        1                10               10               3                3                2                
Pavarde275       Vardas275        8                8                7                8                0                7                
Pavarde276       Vardas276        9                5                10               8                0                4                
Pavarde277       Vardas277        0                2                3                3                6                5                
Pavarde278       Vardas278        4                3                8                3                6                7                
Pavarde279       Vardas279        1                10               5                8                0                8                
Pavarde280       Vardas280        5                2                6                3                6                6                
Pavarde281       Vardas281        4                1                2                7                7                8                
Pavarde282       Vardas282        4                2                10               10               5                9                
Pavarde283       Vardas283        10               0                5                8                2                6                
Pavarde284       Vardas284        6                2                3                8                8                9                
Pavarde285       Vardas285        6                6                9                0                5                0                
Pavarde286       Vardas286        7                7                6                8                1                9                
Pavarde287       Vardas287        2                2                6                9                6                5                
Pavarde288       Vardas288        9                0                1                3                7                1                
Pavarde289       Vardas289        2                10               7                9                8                7                
Pavarde290       Vardas290        2                8                4                8                1                4                
Pavarde291       Vardas291        6                3                8                3                2                9                
Pavarde292       Vardas292        4                0                0                8                9                7                
Pavarde293       Vardas293        8                9                10               7                1                0                
Pavarde294       Vardas294        2                2                9                8                2                9                
Pavarde295       Vardas295        0                5                9                5                1                1                
Pavarde296       Vardas296        7                2                6                5                7                1                
Pavarde297       Vardas297        4                6                4                1                6                7                
Pavarde298       Vardas298        2                1                10               8                10               4                
Pavarde299       Vardas299        1                6                4                4                4                0                
Pavarde300       Vardas300        7                5                8                9                9                8                
Pavarde301       Vardas301        1                5                3                9                3                6                
Pavarde302       Vardas302        0                6                1                7                10               2                
Pavarde303       Vardas303        6                5                8                7                4                10               
Pavarde304       Vardas304        3                2                6                3                5                6                
Pavarde305       Vardas305        3                6                1                3                9                0                
Pavarde306       Vardas306        1                1                6                1                2                1                
Pavarde307       Vardas307        7                4                6                5                9                1                
Pavarde308       Vardas308        2                5                10               2                7                0                
Pavarde309       Vardas309        0                4                2                9                0                1                
Pavarde310       Vardas310        4                0                6                2                0                4                
Pavarde311       Vardas311        2                7                9                0                2                4                
Pavarde312       Vardas312        4                7                0                1                9                8                
Pavarde313       Vardas313        1                7                0                3                0                1                
Pavarde314       Vardas314        9                7                6                10               10               7                
Pavarde315       Vardas315        5                2                5                2                10               6                
Pavarde316       Vardas316        4                9                2                7                0                5                
Pavarde317       Vardas317        5                6                9                3                8                10               
Pavarde318       Vardas318        5                0                9                8                6                10               
Pavarde319       Vardas319        10               6                3                7                4                0                
Pavarde320       Vardas320        5                5                9                3                8                5                
Pavarde321       Vardas321        7                10               7                9                3                3                
Pavarde322       Vardas322        6                2                10               7                3                10               
Pavarde323       Vardas323        6                6                1                4                1                7                
Pavarde324       Vardas324        6                10               4                8                10               7                
Pavarde325       Vardas325        6                3                4                10               4                10               
Pavarde326       Vardas326        3                3                1                8                8                5                
